source_record_id,sort_key,reason,verified_by,verified_at
KR-K4-P314,K315-1,"경의1선(경의중앙선 지선) 신촌은 원본 코드가 P314로 서울역(P313)보다 커서 자연정렬하면 서울역보다 뒤로 밀리지만, 실제 순서는 가좌(K315)→신촌→서울역이다(km 기준, 나무위키 경의·중앙선/역 목록 확인). 가좌 코드(K315) 바로 뒤에 오도록 정렬 전용 키를 부여한다.",user,2026-09-14
KR-K4-P313,K315-2,"경의1선(경의중앙선 지선) 서울역. 위 KR-K4-P314 사유와 동일 — 신촌 다음 순서로 정렬 전용 키를 부여한다.",user,2026-09-14
KR-K4-K338,001,"경의중앙선 본선 전체 재정렬. 원본 코드가 용산선 구간(K1xx: 효창공원앞~용산 등은 K3xx, 용산~응봉은 K1xx), 경원선·중앙선 구간(K1xx, 단 청량리·왕십리만 K2xx), 경의선 구간(K3xx: 임진강~디지털미디어시티)으로 나뉘어 있어 자연정렬로는 실제 물리적 순서가 안 나온다. 나무위키 '수도권 전철 경의·중앙선/역 목록' 문서의 km 순서를 그대로 따르고, 그 문서에 없는 도라산은 임진강 바로 위(북쪽) 역이라는 사용자 확인에 따라 맨 앞에 둔다.",user,2026-09-14
KR-K4-K337,002,"경의중앙선 본선 재정렬. 위 KR-K4-K338 사유와 동일.",user,2026-09-14
KR-K4-K336,003,"경의중앙선 본선 재정렬. 위 KR-K4-K338 사유와 동일.",user,2026-09-14
KR-K4-K335,004,"경의중앙선 본선 재정렬. 위 KR-K4-K338 사유와 동일.",user,2026-09-14
KR-K4-K334,005,"경의중앙선 본선 재정렬. 위 KR-K4-K338 사유와 동일.",user,2026-09-14
KR-K4-K333,006,"경의중앙선 본선 재정렬. 위 KR-K4-K338 사유와 동일.",user,2026-09-14
KR-K4-K331,007,"경의중앙선 본선 재정렬. 위 KR-K4-K338 사유와 동일.",user,2026-09-14
KR-K4-K330,008,"경의중앙선 본선 재정렬. 위 KR-K4-K338 사유와 동일.",user,2026-09-14
KR-K4-K329,009,"경의중앙선 본선 재정렬. 위 KR-K4-K338 사유와 동일.",user,2026-09-14
KR-K4-K328,010,"경의중앙선 본선 재정렬. 위 KR-K4-K338 사유와 동일.",user,2026-09-14
KR-K4-K327,011,"경의중앙선 본선 재정렬. 위 KR-K4-K338 사유와 동일.",user,2026-09-14
KR-K4-K326,012,"경의중앙선 본선 재정렬. 위 KR-K4-K338 사유와 동일.",user,2026-09-14
KR-K4-K325,013,"경의중앙선 본선 재정렬. 위 KR-K4-K338 사유와 동일.",user,2026-09-14
KR-K4-K324,014,"경의중앙선 본선 재정렬. 위 KR-K4-K338 사유와 동일.",user,2026-09-14
KR-K4-K323,015,"경의중앙선 본선 재정렬. 위 KR-K4-K338 사유와 동일.",user,2026-09-14
KR-K4-K322,016,"경의중앙선 본선 재정렬. 위 KR-K4-K338 사유와 동일.",user,2026-09-14
KR-K4-K321,017,"경의중앙선 본선 재정렬. 위 KR-K4-K338 사유와 동일.",user,2026-09-14
KR-K4-K320,018,"경의중앙선 본선 재정렬. 위 KR-K4-K338 사유와 동일.",user,2026-09-14
KR-K4-K319,019,"경의중앙선 본선 재정렬. 위 KR-K4-K338 사유와 동일.",user,2026-09-14
KR-K4-K318,020,"경의중앙선 본선 재정렬. 위 KR-K4-K338 사유와 동일.",user,2026-09-14
KR-K4-K317,021,"경의중앙선 본선 재정렬. 위 KR-K4-K338 사유와 동일.",user,2026-09-14
KR-K4-K316,022,"경의중앙선 본선 재정렬. 위 KR-K4-K338 사유와 동일.",user,2026-09-14
KR-K4-K315,023,"경의중앙선 본선 재정렬. 위 KR-K4-K338 사유와 동일.",user,2026-09-14
KR-K4-K314,024,"경의중앙선 본선 재정렬. 위 KR-K4-K338 사유와 동일.",user,2026-09-14
KR-K4-K313,025,"경의중앙선 본선 재정렬. 위 KR-K4-K338 사유와 동일.",user,2026-09-14
KR-K4-K312,026,"경의중앙선 본선 재정렬. 위 KR-K4-K338 사유와 동일.",user,2026-09-14
KR-K4-K311,027,"경의중앙선 본선 재정렬. 위 KR-K4-K338 사유와 동일.",user,2026-09-14
KR-K4-K110,028,"경의중앙선 본선 재정렬. 위 KR-K4-K338 사유와 동일.",user,2026-09-14
KR-K4-K111,029,"경의중앙선 본선 재정렬. 위 KR-K4-K338 사유와 동일.",user,2026-09-14
KR-K4-K112,030,"경의중앙선 본선 재정렬. 위 KR-K4-K338 사유와 동일.",user,2026-09-14
KR-K4-K113,031,"경의중앙선 본선 재정렬. 위 KR-K4-K338 사유와 동일.",user,2026-09-14
KR-K4-K114,032,"경의중앙선 본선 재정렬. 위 KR-K4-K338 사유와 동일.",user,2026-09-14
KR-K4-K115,033,"경의중앙선 본선 재정렬. 위 KR-K4-K338 사유와 동일.",user,2026-09-14
KR-K4-K210,034,"경의중앙선 본선 재정렬. 위 KR-K4-K338 사유와 동일.",user,2026-09-14
KR-K4-K209,035,"경의중앙선 본선 재정렬. 위 KR-K4-K338 사유와 동일.",user,2026-09-14
KR-K4-K118,036,"경의중앙선 본선 재정렬. 위 KR-K4-K338 사유와 동일.",user,2026-09-14
KR-K4-K119,037,"경의중앙선 본선 재정렬. 위 KR-K4-K338 사유와 동일.",user,2026-09-14
KR-K4-K120,038,"경의중앙선 본선 재정렬. 위 KR-K4-K338 사유와 동일.",user,2026-09-14
KR-K4-K121,039,"경의중앙선 본선 재정렬. 위 KR-K4-K338 사유와 동일.",user,2026-09-14
KR-K4-K122,040,"경의중앙선 본선 재정렬. 위 KR-K4-K338 사유와 동일.",user,2026-09-14
KR-K4-K123,041,"경의중앙선 본선 재정렬. 위 KR-K4-K338 사유와 동일.",user,2026-09-14
KR-K4-K124,042,"경의중앙선 본선 재정렬. 위 KR-K4-K338 사유와 동일.",user,2026-09-14
KR-K4-K125,043,"경의중앙선 본선 재정렬. 위 KR-K4-K338 사유와 동일.",user,2026-09-14
